参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目
公式サイト：https://www.city.shinagawa.tokyo.jp/PC/bosai/bosai2/taiken/taikenkan/hpg000027669.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%93%81%E5%B7%9D%E5%8C%BA%20%E3%81%97%E3%81%AA%E3%81%8C%E3%82%8F%E9%98%B2%E7%81%BD%E4%BD%93%E9%A8%93%E9%A4%A8,東京都,品川区,しながわ防災体験館,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向け展示・体験。団体予約時は貸切・体験制限の場合あり。2026年4月から第3土曜日の翌日曜日も休館。 公的主体：品川区
公式サイト：https://www.tfd.metro.tokyo.lg.jp/taiken/ikebukuro/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%B1%8A%E5%B3%B6%E5%8C%BA%20%E6%B1%A0%E8%A2%8B%E9%98%B2%E7%81%BD%E9%A4%A8,東京都,豊島区,池袋防災館,防災館,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：個人も体験の事前予約を案内。自由見学コーナーあり。 公的主体：東京都・東京消防庁
公式サイト：https://www.ara-amoa.com/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA%20%E8%8D%92%E5%B7%9D%E7%9F%A5%E6%B0%B4%E8%B3%87%E6%96%99%E9%A4%A8%EF%BC%88amoa%EF%BC%89,東京都,北区,荒川知水資料館（amoa）,治水資料館,,,,,,,荒川の治水を扱う資料館。河川と水防の公共展示に関心がある場合の候補。 利用条件：無料。季節で閉館時刻変更。2026-08-31に2階通常利用再開の告知。 公的主体：国土交通省
公式サイト：https://www.city.kita.lg.jp/safety/disaster/1002639/1002675.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8C%97%E5%8C%BA%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E5%9C%B0%E9%9C%87%E3%81%AE%E7%A7%91%E5%AD%A6%E9%A4%A8%EF%BC%89,東京都,北区,東京都北区防災センター（地震の科学館）,地震科学館・防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。一部体験は1名でも事前予約。 公的主体：北区
公式サイト：https://www.tfd.metro.tokyo.lg.jp/taiken/honjo/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%A2%A8%E7%94%B0%E5%8C%BA%20%E6%9C%AC%E6%89%80%E9%98%B2%E7%81%BD%E9%A4%A8,東京都,墨田区,本所防災館,防災館,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。防災体験ツアーは予約制。自由見学あり。 公的主体：東京都・東京消防庁
公式サイト：https://www.tfd.metro.tokyo.lg.jp/taiken/tachikawa/ 公式資料：https://www.tfd.metro.tokyo.lg.jp/taiken/tachikawa/20240201_00003.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%AB%8B%E5%B7%9D%E5%B8%82%20%E7%AB%8B%E5%B7%9D%E9%98%B2%E7%81%BD%E9%A4%A8,東京都,立川市,立川防災館,防災館,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向け体験・自由見学あり。消火コーナーは2026-04-18再開済み（室内一部立入禁止）。 公的主体：東京都・東京消防庁
公式サイト：https://www.city.nerima.tokyo.jp/shisetsu/bousai/bousaigaku/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%B7%B4%E9%A6%AC%E5%8C%BA%20%E7%B7%B4%E9%A6%AC%E5%8C%BA%E7%AB%8B%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,東京都,練馬区,練馬区立防災学習センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料展示室あり。予約不要の体験講座と要予約コースあり。 公的主体：練馬区
公式サイト：https://bo-sai.city.yokohama.lg.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E6%A8%AA%E6%B5%9C%E5%B8%82%E7%A5%9E%E5%A5%88%E5%B7%9D%E5%8C%BA%20%E6%A8%AA%E6%B5%9C%E5%B8%82%E6%B0%91%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,神奈川県,横浜市神奈川区,横浜市民防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向け体験ツアー・プログラムと予約案内あり。 公的主体：横浜市
公式サイト：https://www.pref.kanagawa.jp/docs/zn2/bousaicenter/homepage.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E5%8E%9A%E6%9C%A8%E5%B8%82%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E7%B7%8F%E5%90%88%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E9%98%B2%E7%81%BD%E6%83%85%E5%A0%B1%E3%83%BB%E4%BD%93%E9%A8%93%E3%83%95%E3%83%AD%E3%82%A2%EF%BC%89,神奈川県,厚木市,神奈川県総合防災センター（防災情報・体験フロア）,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：9名以下予約不要。団体は予約案内参照。2026-12-20臨時休館告知あり。 公的主体：神奈川県
公式サイト：https://www.hrr.mlit.go.jp/shinano/ohkouzu/museum.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E7%87%95%E5%B8%82%20%E4%BF%A1%E6%BF%83%E5%B7%9D%E5%A4%A7%E6%B2%B3%E6%B4%A5%E8%B3%87%E6%96%99%E9%A4%A8,新潟県,燕市,信濃川大河津資料館,治水資料館,,,,,,,大河津分水の常設展示と展望室を訪ね、河川改修の役割を学ぶ。 利用条件：無料。常設展示・展望室。団体・学習支援は申込案内参照。 公的主体：国土交通省
公式サイト：https://www.city.ojiya.niigata.jp/soshiki/bunkasports/sokorate-sonaekan.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E5%B0%8F%E5%8D%83%E8%B0%B7%E5%B8%82%20%E8%96%AD%E7%94%9F%E4%B8%99299-1%20%E3%82%BD%E3%82%B3%E3%83%A9%E3%83%86%20%E3%81%9D%E3%81%AA%E3%81%88%E9%A4%A8,新潟県,小千谷市,おぢや震災ミュージアム そなえ館,震災伝承館・防災体験施設,,,,,,,ソコラテ内へ移転した震災ミュージアム。旧所在地との取り違えに注意して訪問する。 利用条件：2026-07-01利用開始の移転先を採用。薭生丙299-1ソコラテ内。旧施設と混同注意。 公的主体：小千谷市
公式サイト：https://www.pref.niigata.lg.jp/sec/jouetsu_sabou/museum.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E4%B8%8A%E8%B6%8A%E5%B8%82%20%E5%9C%B0%E3%81%99%E3%81%B9%E3%82%8A%E8%B3%87%E6%96%99%E9%A4%A8,新潟県,上越市,地すべり資料館,砂防資料館,,,,,,,映像や模型を通して、地すべりの仕組みと対策工事を学ぶ専門資料館。 利用条件：一般向け展示。冬季は開館時間短縮。所在地は板倉区猿供養寺。 公的主体：新潟県
公式サイト：https://www.city.niigata.lg.jp/kurashi/bohan/shobo/kohoibentokousyukai/koho/tyousyakenngaku.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E6%96%B0%E6%BD%9F%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%20%E6%96%B0%E6%BD%9F%E5%B8%82%E6%B6%88%E9%98%B2%E5%B1%80%E3%83%BB%E4%B8%AD%E5%A4%AE%E6%B6%88%E9%98%B2%E7%BD%B2%20%E3%82%A8%E3%83%B3%E3%83%88%E3%83%A9%E3%83%B3%E3%82%B9%E3%83%9B%E3%83%BC%E3%83%AB%E5%B1%95%E7%A4%BA,新潟県,新潟市中央区,新潟市消防局・中央消防署 エントランスホール展示,消防資料館・防災体験施設,,,,,,,消防署の公開ホールで、消防の歴史や防火・通報の展示を短時間で見学する。 利用条件：エントランス展示は予約不要。他の施設を含む見学は10名以上の団体で要予約。災害時は中止の場合あり。 公的主体：新潟市
公式サイト：https://orataru.net/information-2/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E9%95%B7%E5%B2%A1%E5%B8%82%20%E3%82%84%E3%81%BE%E3%81%93%E3%81%97%E5%BE%A9%E8%88%88%E4%BA%A4%E6%B5%81%E9%A4%A8%20%E3%81%8A%E3%82%89%E3%81%9F%E3%82%8B,新潟県,長岡市,やまこし復興交流館 おらたる,震災伝承館,,,,,,,山古志の震災と復興を学ぶ交流館。地域の記録を読む訪問先。 利用条件：無料・予約不要で見学可。団体予約推奨。 公的主体：長岡市
公式サイト：https://shikibousaikan.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E5%AF%8C%E5%B1%B1%E5%B8%82%20%E5%9B%9B%E5%AD%A3%E9%98%B2%E7%81%BD%E9%A4%A8%EF%BC%88ALSOK%E3%81%A8%E3%82%84%E3%81%BE%E5%9B%9B%E5%AD%A3%E9%98%B2%E7%81%BD%E9%A4%A8%EF%BC%89,富山県,富山市,四季防災館（ALSOKとやま四季防災館）,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：2026-04-21リニューアル。体験予約状況を確認して来館。 公的主体：富山県
公式サイト：https://www.tatecal.or.jp/tatecal/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E7%AB%8B%E5%B1%B1%E7%94%BA%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%E7%AB%8B%E5%B1%B1%E3%82%AB%E3%83%AB%E3%83%87%E3%83%A9%E7%A0%82%E9%98%B2%E5%8D%9A%E7%89%A9%E9%A4%A8,富山県,立山町,富山県立山カルデラ砂防博物館,砂防資料館,,,,,,,立山の自然と砂防を扱う博物館。砂防という専門分野の展示をまとまって見たい。 利用条件：一般観覧可。冬季は閉館時間短縮。屋外体験学習は別途申込。 公的主体：富山県
公式サイト：https://www.hrr.mlit.go.jp/kanazawa/hakusansabo/08kagakukan/kagakukan01.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E5%B7%9D%E7%9C%8C%20%E7%99%BD%E5%B1%B1%E5%B8%82%20%E7%99%BD%E5%B1%B1%E7%A0%82%E9%98%B2%E7%A7%91%E5%AD%A6%E9%A4%A8,石川県,白山市,白山砂防科学館,砂防資料館,,,,,,,白山の災害と砂防を、映像・模型・無人化施工体験などから知る。 利用条件：一般見学可・無料。団体の説明希望は事前申込。 公的主体：国土交通省
公式サイト：https://www.city.fukui.lg.jp/kurasi/bosai/bosai/p000109.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E4%BA%95%E7%9C%8C%20%E7%A6%8F%E4%BA%95%E5%B8%82%20%E7%A6%8F%E4%BA%95%E5%B8%82%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,福井県,福井市,福井市防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：防火・防災の学習施設。利用条件は市の施設案内参照。 公的主体：福井市
公式サイト：https://yamanashi-bousai.or.jp/riyou/97/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%A2%A8%E7%9C%8C%20%E4%B8%AD%E5%A4%AE%E5%B8%82%20%E5%B1%B1%E6%A2%A8%E7%9C%8C%E7%AB%8B%E9%98%B2%E7%81%BD%E5%AE%89%E5%85%A8%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,山梨県,中央市,山梨県立防災安全センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：個人も利用可。無料。見学・体験・講義の申込方法は利用案内参照。 公的主体：山梨県
公式サイト：https://ontake-vc.jp/yama/facility/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%20%E7%8E%8B%E6%BB%9D%E6%9D%91%20%E9%95%B7%E9%87%8E%E7%9C%8C%E7%AB%8B%E5%BE%A1%E5%B6%BD%E5%B1%B1%E3%83%93%E3%82%B8%E3%82%BF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E3%82%84%E3%81%BE%E3%83%86%E3%83%A9%E3%82%B9%E7%8E%8B%E6%BB%9D%EF%BC%89,長野県,王滝村,長野県立御嶽山ビジターセンター（やまテラス王滝）,火山防災施設,,,,,,,噴火災害の伝承と安全登山を学ぶ拠点。二つのセンターの違いも見たい。 利用条件：季節開館。2026年5月2日～11月3日予定。天候で変更あり。 公的主体：長野県
公式サイト：https://ontake-vc.jp/sato/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%20%E6%9C%A8%E6%9B%BD%E7%94%BA%20%E6%9C%A8%E6%9B%BD%E7%94%BA%E5%BE%A1%E5%B6%BD%E5%B1%B1%E3%83%93%E3%82%B8%E3%82%BF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E3%81%95%E3%81%A8%E3%83%86%E3%83%A9%E3%82%B9%E4%B8%89%E5%B2%B3%EF%BC%89,長野県,木曽町,木曽町御嶽山ビジターセンター（さとテラス三岳）,火山防災施設,,,,,,,噴火災害の伝承と安全登山を学ぶ拠点。二つのセンターの違いも見たい。 利用条件：一般展示。噴火災害伝承・安全登山情報。 公的主体：木曽町
公式サイト：https://www.pref.gifu.lg.jp/page/2259.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%20%E6%B5%B7%E6%B4%A5%E5%B8%82%20%E5%B2%90%E9%98%9C%E7%9C%8C%E3%81%95%E3%81%BC%E3%81%86%E9%81%8A%E5%AD%A6%E9%A4%A8,岐阜県,海津市,岐阜県さぼう遊学館,砂防資料館,,,,,,,土砂災害の特徴と避難を学ぶ展示。説明を希望する場合は事前申込が有用。 利用条件：展示は自由見学・無料。団体利用・専門家による説明は申込。 公的主体：岐阜県
公式サイト：https://www.city.ogaki.lg.jp/0000000609.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%20%E5%A4%A7%E5%9E%A3%E5%B8%82%20%E5%A4%A7%E5%9E%A3%E5%B8%82%E8%BC%AA%E4%B8%AD%E9%A4%A8,岐阜県,大垣市,大垣市輪中館,治水資料館,,,,,,,水防工法の模型や輪中の景観展示から、暮らしと治水の関係を読む。 利用条件：一般見学可・無料。輪中の歴史・水防工法等を展示。 公的主体：大垣市
公式サイト：https://www.city.ogaki.lg.jp/0000000609.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%20%E5%A4%A7%E5%9E%A3%E5%B8%82%20%E5%A4%A7%E5%9E%A3%E5%B8%82%E8%BC%AA%E4%B8%AD%E7%94%9F%E6%B4%BB%E9%A4%A8,岐阜県,大垣市,大垣市輪中生活館,治水資料館,,,,,,,旧名和邸の住居式・土蔵式の水屋など、水害に備えた建築を観察する。 利用条件：原則土日祝公開・無料。平日は輪中館に相談。水屋・上げ舟等を展示。輪中館とは別所在地。 公的主体：大垣市
公式サイト：https://www.city.motosu.lg.jp/0000001399.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%20%E6%9C%AC%E5%B7%A3%E5%B8%82%20%E6%A0%B9%E5%B0%BE%E8%B0%B7%E5%9C%B0%E9%9C%87%E6%96%AD%E5%B1%A4%E8%A6%B3%E5%AF%9F%E9%A4%A8,岐阜県,本巣市,根尾谷地震断層観察館,地震科学・震災資料館,,,,,,,館内を横切る根尾谷断層を観察し、濃尾地震の記録を読む。 利用条件：一般見学可・有料。2026年4月から10〜16時。地震体験館は機械メンテナンスで利用休止。 公的主体：本巣市
公式サイト：https://www.pref.shizuoka.jp/bosaikinkyu/sonae/earthquake/bosaicenter/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA%20%E9%9D%99%E5%B2%A1%E7%9C%8C%E5%9C%B0%E9%9C%87%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,静岡県,静岡市葵区,静岡県地震防災センター,地震防災施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。個人の案内不要見学は予約不要。地震体験は予約状況により不可。 公的主体：静岡県
公式サイト：https://www.hamabosai.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E6%B5%9C%E6%9D%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%20%E6%B5%9C%E6%9D%BE%E5%B8%82%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E3%81%AF%E3%81%BE%E9%98%B2%EF%BD%9E%E5%AE%B6%EF%BC%89,静岡県,浜松市中央区,浜松市防災学習センター（はま防～家）,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向け展示・体験・講座。現住所は中央区（旧区名に注意）。 公的主体：浜松市
公式サイト：https://www.city.toyota.aichi.jp/shisei/shisetsu/gakushu/bousaigakushucenter/1005790.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E8%B1%8A%E7%94%B0%E5%B8%82%20%E8%B1%8A%E7%94%B0%E5%B8%82%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,愛知県,豊田市,豊田市防災学習センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：個人は自由見学。団体予約中は個人体験不可。10名以上は予約。 公的主体：豊田市
公式サイト：https://www.minato-bousai.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%B8%AF%E5%8C%BA%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E6%B8%AF%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,愛知県,名古屋市港区,名古屋市港防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：入場・体験無料。伊勢湾台風資料展示あり。 公的主体：名古屋市
公式サイト：https://www.water.go.jp/chubu/nagara/51_plaza/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E9%87%8D%E7%9C%8C%20%E6%A1%91%E5%90%8D%E5%B8%82%20%E9%98%B2%E7%81%BD%E8%B3%87%E6%96%99%E9%A4%A8%20%E3%82%A2%E3%82%AF%E3%82%A2%E3%83%97%E3%83%A9%E3%82%B6%E3%81%AA%E3%81%8C%E3%82%89,三重県,桑名市,防災資料館 アクアプラザながら,治水資料館,,,,,,,木曽三川と長良川河口堰の役割を学ぶ防災資料館。平日の訪問候補。 利用条件：一般見学可。2025年4月から平日のみ10〜16時。祝日・年末年始・5月1日休館。 公的主体：独立行政法人水資源機構
公式サイト：https://yokkaichisyoubou.jp/organization/08-2/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E9%87%8D%E7%9C%8C%20%E5%9B%9B%E6%97%A5%E5%B8%82%E5%B8%82%20%E5%9B%9B%E6%97%A5%E5%B8%82%E5%B8%82%E9%98%B2%E7%81%BD%E6%95%99%E8%82%B2%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,三重県,四日市市,四日市市防災教育センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：見学は予約が必要。2024年に北消防署併設施設へリニューアル。 公的主体：四日市市
公式サイト：https://www.kkr.mlit.go.jp/biwako/aquabiwa/access/index.html 公式資料：https://www.kkr.mlit.go.jp/biwako/aquabiwa/aqua/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%BB%8B%E8%B3%80%E7%9C%8C%20%E5%A4%A7%E6%B4%A5%E5%B8%82%20%E6%B0%B4%E3%81%AE%E3%82%81%E3%81%90%E3%81%BF%E9%A4%A8%20%E3%82%A2%E3%82%AF%E3%82%A2%E7%90%B5%E7%90%B6,滋賀県,大津市,水のめぐみ館 アクア琵琶,治水資料館,,,,,,,琵琶湖の治水・利水を扱う展示。水管理施設の広報展示を見比べたい。 利用条件：一般見学可・無料。昼休みあり。雨体験室は故障による休止案内あり。 公的主体：国土交通省
公式サイト：https://kyotobousai-c.com/ 公式資料：https://www.city.kyoto.lg.jp/shobo/page/0000356918.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E5%BA%9C%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8D%97%E5%8C%BA%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%B8%82%E6%B0%91%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,京都府,京都市南区,京都市市民防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向け体験案内・体験時間割あり。 公的主体：京都市
公式サイト：https://www.city.fukuchiyama.lg.jp/soshiki/7/64667.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E5%BA%9C%20%E7%A6%8F%E7%9F%A5%E5%B1%B1%E5%B8%82%20%E7%A6%8F%E7%9F%A5%E5%B1%B1%E5%B8%82%E6%B2%BB%E6%B0%B4%E8%A8%98%E5%BF%B5%E9%A4%A8,京都府,福知山市,福知山市治水記念館,治水資料館,,,,,,,水害を経験した町家を活用した記念館。建物と洪水の記録をあわせて見る。 利用条件：一般見学可・無料。休館日の振替に注意。 公的主体：福知山市
公式サイト：https://www.city.sakai.lg.jp/kurashi/bosai/shobo/shokai/bousai_center/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A0%BA%E5%B8%82%E7%BE%8E%E5%8E%9F%E5%8C%BA%20%E5%A0%BA%E5%B8%82%E7%B7%8F%E5%90%88%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,大阪府,堺市美原区,堺市総合防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向けの防災体験ツアー。無料体験施設として市が案内。 公的主体：堺市
公式サイト：https://www.abeno-bosai-c.city.osaka.jp/tasukaru/ 公式資料：https://www.abeno-bosai-c.city.osaka.jp/tasukaru/events Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E9%98%BF%E5%80%8D%E9%87%8E%E5%8C%BA%20%E5%A4%A7%E9%98%AA%E5%B8%82%E7%AB%8B%E9%98%BF%E5%80%8D%E9%87%8E%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E3%81%82%E3%81%B9%E3%81%AE%E3%82%BF%E3%82%B9%E3%82%AB%E3%83%AB%EF%BC%89,大阪府,大阪市阿倍野区,大阪市立阿倍野防災センター（あべのタスカル）,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向けツアー・予約案内あり。震度7体験は2025年10月〜2027年3月、起震装置更新のため休止。他の体験は実施。 公的主体：大阪市
公式サイト：https://www.pref.osaka.lg.jp/shisetsu/o130350/shisetsu_000073.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E8%A5%BF%E5%8C%BA%20%E6%B4%A5%E6%B3%A2%E3%83%BB%E9%AB%98%E6%BD%AE%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3,大阪府,大阪市西区,津波・高潮ステーション,津波・高潮防災施設,,,,,,,大阪の津波・高潮対策を学ぶ展示棟。四面映像のシアターが見学の中心。 利用条件：一般見学できる展示棟。団体は予約案内参照。 公的主体：大阪府
公式サイト：https://www.higashiosaka-bousai.com/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E6%9D%B1%E5%A4%A7%E9%98%AA%E5%B8%82%20%E6%9D%B1%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B6%88%E9%98%B2%E5%B1%80%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,大阪府,東大阪市,東大阪市消防局防災学習センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：土日祝は個人も予約必要。貸切日は個人入館不可。 公的主体：東大阪市
公式サイト：https://www.kkr.mlit.go.jp/yodogawa/shisetu/yodo-museum/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E6%9E%9A%E6%96%B9%E5%B8%82%20%E6%B7%80%E5%B7%9D%E8%B3%87%E6%96%99%E9%A4%A8,大阪府,枚方市,淀川資料館,治水資料館,,,,,,,淀川の治水資料を見学する。所蔵資料の閲覧希望は事前に問い合わせたい。 利用条件：無料。一般展示。所蔵資料閲覧は平日の開館時間中に事前問い合わせ。 公的主体：国土交通省
