参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ
,神奈川県,藤沢市,朝日軒,海辺観光地の遊技場,,,,,,,すばな通りの昔ながらのスマートボール・射的。利用条件：不定期営業。通常店内撮影禁止との取材情報あり,,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E8%97%A4%E6%B2%A2%E5%B8%82%20%E6%9C%9D%E6%97%A5%E8%BB%92
,新潟県,燕市,公楽園 ゲームコーナー,オートレストラン・宿泊施設,,,,,,,田園の二階建て休憩施設。自販機と旧作筐体が残る。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E7%87%95%E5%B8%82%20%E5%85%AC%E6%A5%BD%E5%9C%92%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,新潟県,三条市,イリスボウル ゲームコーナー,ボウリング場併設,,,,,,,既存ボウリング場にテーブル筐体を集積。保存活動の要素も強い。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E4%B8%89%E6%9D%A1%E5%B8%82%20%E3%82%A4%E3%83%AA%E3%82%B9%E3%83%9C%E3%82%A6%E3%83%AB%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
公式サイト：https://www.playhouse-erina.com/,新潟県,新潟市西蒲区,プレイハウスエリナ,ロードサイドのゲームセンター,,,,,,,創業45年目を運営者が案内。古い郊外ゲーセンに現行音楽ゲームが同居。利用条件：ゲームごとに課金。原則月曜休・公式X確認,https://www.playhouse-erina.com/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E6%96%B0%E6%BD%9F%E5%B8%82%E8%A5%BF%E8%92%B2%E5%8C%BA%20%E3%83%97%E3%83%AC%E3%82%A4%E3%83%8F%E3%82%A6%E3%82%B9%E3%82%A8%E3%83%AA%E3%83%8A
,新潟県,新潟市北区,ポピーとよさか,オートレストランのゲームコーナー,,,,,,,自販機飲食とテーブル筐体が同居。古い空間を使い続けながらゲームを入れ替えている。利用条件：ゲームごとに課金。飲食注文と遊技の時間は別,,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E6%96%B0%E6%BD%9F%E5%B8%82%E5%8C%97%E5%8C%BA%20%E3%83%9D%E3%83%94%E3%83%BC%E3%81%A8%E3%82%88%E3%81%95%E3%81%8B
公式サイト：https://am-factory.jp/tecnopolis/,新潟県,長岡市,ゲームセンターテクノポリス,旧映画館のゲームセンター,,,,,,,映画館を転用した建物に旧作・体感機を維持。利用条件：ゲームごとに課金。最新営業日は要確認,https://am-factory.jp/tecnopolis/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E9%95%B7%E5%B2%A1%E5%B8%82%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%86%E3%82%AF%E3%83%8E%E3%83%9D%E3%83%AA%E3%82%B9
,富山県,魚津市,ゲームスポットアップル,街のゲームセンター,,,,,,,旧筐体と新機種が同居する音楽ゲーム中心店。レトロな空間の程度は要確認。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E9%AD%9A%E6%B4%A5%E5%B8%82%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%9D%E3%83%83%E3%83%88%E3%82%A2%E3%83%83%E3%83%97%E3%83%AB
,富山県,高岡市,オートレストランぞうさん,オートレストラン,,,,,,,食品自販機とビデオゲーム。テーブル筐体も稼働。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E9%AB%98%E5%B2%A1%E5%B8%82%20%E3%82%AA%E3%83%BC%E3%83%88%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3%E3%81%9E%E3%81%86%E3%81%95%E3%82%93
公式サイト：https://www.yamazakiya.co.jp/shop/hokuriku/,石川県,金沢市,バイパスレジャーランド藤江本館・新館,ロードサイドのゲームセンター,,,,,,,本館は食堂併設ゲーセン由来。旧作筐体が並ぶ2階を優先。利用条件：ゲームごとに課金。最新営業日は要確認。7:00～24:00。 年中無休休館。,https://www.yamazakiya.co.jp/shop/hokuriku/,https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E5%B7%9D%E7%9C%8C%20%E9%87%91%E6%B2%A2%E5%B8%82%20%E3%83%90%E3%82%A4%E3%83%91%E3%82%B9%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E8%97%A4%E6%B1%9F%E6%9C%AC%E9%A4%A8%E3%83%BB%E6%96%B0%E9%A4%A8
公式サイト：https://page.line.me/ptk3641j,石川県,七尾市,ゲームセンターベティ,ロードサイドゲームセンター,,,,,,,能登の小さな独立店。古い音楽ゲームを維持し、旧筐体と新筐体が共存。利用条件：ゲームごとに課金。営業時間の変更は公式SNSで確認,https://page.line.me/ptk3641j,https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E5%B7%9D%E7%9C%8C%20%E4%B8%83%E5%B0%BE%E5%B8%82%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%99%E3%83%86%E3%82%A3
"公式サイト：https://www.yamazakiya.co.jp/shop/hokuriku/
公式資料：https://www.yamazakiya.co.jp/company/",福井県,福井市,フクイレジャーランド ワイプラザ店,商業施設のゲームセンター,,,,,,,2001年開設の複合レジャー施設。2026年の現地記事でゲームフロアを確認。利用条件：ゲームごとに課金。区画ごとの営業時間を確認。7:00～24:00。 年中無休休館。,https://www.yamazakiya.co.jp/shop/hokuriku/,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E4%BA%95%E7%9C%8C%20%E7%A6%8F%E4%BA%95%E5%B8%82%20%E3%83%95%E3%82%AF%E3%82%A4%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%20%E3%83%AF%E3%82%A4%E3%83%97%E3%83%A9%E3%82%B6%E5%BA%97
,長野県,下高井郡山ノ内町,渋温泉クラブ,温泉街の遊技場,,,,,,,渋温泉の石畳沿いにある射的遊技場。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%20%E4%B8%8B%E9%AB%98%E4%BA%95%E9%83%A1%E5%B1%B1%E3%83%8E%E5%86%85%E7%94%BA%20%E6%B8%8B%E6%B8%A9%E6%B3%89%E3%82%AF%E3%83%A9%E3%83%96
,長野県,下高井郡山ノ内町,面白屋,温泉街の遊技場,,,,,,,100年以上の歴史を紹介する昔ながらの射的店。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%20%E4%B8%8B%E9%AB%98%E4%BA%95%E9%83%A1%E5%B1%B1%E3%83%8E%E5%86%85%E7%94%BA%20%E9%9D%A2%E7%99%BD%E5%B1%8B
公式サイト：https://sites.google.com/view/nyarise/ホーム,長野県,上田市,ニャライズ,街のゲームセンター,,,,,,,小規模店で旧作基板の入れ替えに対応。利用条件：ゲーム別料金・機種入替有料。公式カレンダー確認。店内撮影不可の案内あり,https://sites.google.com/view/nyarise/ホーム,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%20%E4%B8%8A%E7%94%B0%E5%B8%82%20%E3%83%8B%E3%83%A3%E3%83%A9%E3%82%A4%E3%82%BA
,岐阜県,下呂市,射的屋 藤吉郎,温泉街の遊技場,,,,,,,下呂温泉街の昔ながらの射的場。小さな店構えを含めて候補。利用条件：有料。日曜中心・不定営業のため事前確認,,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%20%E4%B8%8B%E5%91%82%E5%B8%82%20%E5%B0%84%E7%9A%84%E5%B1%8B%20%E8%97%A4%E5%90%89%E9%83%8E
公式サイト：https://www.retromuseum.jp/,岐阜県,高山市,飛騨高山レトロミュージアム,保存・再現型遊技施設,,,,,,,古いアーケードゲームや10円ゲームを実際に遊べる再現施設。自然残存とは別枠。利用条件：入館料。体験により追加料金あり。11:00～15:00。 年中無休休館。,https://www.retromuseum.jp/,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%20%E9%AB%98%E5%B1%B1%E5%B8%82%20%E9%A3%9B%E9%A8%A8%E9%AB%98%E5%B1%B1%E3%83%AC%E3%83%88%E3%83%AD%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0
公式サイト：https://www.city.yamagata.gifu.jp/site/yamanavi/8058.html,岐阜県,山県市,岐阜レトロミュージアム,保存・再現型遊技施設,,,,,,,旧作ゲーム・パチンコ・自販機を集めた体験施設。自然残存ではなく保存施設として区別。利用条件：時間制の入館料。火～木休業（祝日除く）。最新料金は要確認,https://www.city.yamagata.gifu.jp/site/yamanavi/8058.html,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%20%E5%B1%B1%E7%9C%8C%E5%B8%82%20%E5%B2%90%E9%98%9C%E3%83%AC%E3%83%88%E3%83%AD%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0
公式サイト：https://www.yourou-land.com/道案内/,岐阜県,養老郡養老町,養老ランド ゲームコーナー,遊園地のゲームコーナー,,,,,,,昭和の雰囲気を保つ遊園地の屋内ゲーム空間。古い個別筐体の現存は要現地確認。利用条件：入園料と遊技料金。休園日あり,https://www.yourou-land.com/道案内/,https://www.google.com/maps/search/?api=1&query=%E5%B2%90%E9%98%9C%E7%9C%8C%20%E9%A4%8A%E8%80%81%E9%83%A1%E9%A4%8A%E8%80%81%E7%94%BA%20%E9%A4%8A%E8%80%81%E3%83%A9%E3%83%B3%E3%83%89%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
公式サイト：https://www.hatoyahotel.com/shisetsu/,静岡県,伊東市,ハトヤホテル ゲームセンター,温泉ホテル内,,,,,,,昭和の大型観光ホテル内。館内動線とあわせた採集向き。利用条件：宿泊等の施設利用条件を確認。ゲーム別料金,https://www.hatoyahotel.com/shisetsu/,https://www.google.com/maps/search/?api=1&query=%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E4%BC%8A%E6%9D%B1%E5%B8%82%20%E3%83%8F%E3%83%88%E3%83%A4%E3%83%9B%E3%83%86%E3%83%AB%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC
公式サイト：https://www.sunhatoya.co.jp/shisetu/hoka/index.html,静岡県,伊東市,ホテルサンハトヤ ゲームセンター,温泉ホテル内,,,,,,,海沿いの大型観光ホテルに残る遊技空間。利用条件：宿泊等の施設利用条件を確認。ゲーム別料金,https://www.sunhatoya.co.jp/shisetu/hoka/index.html,https://www.google.com/maps/search/?api=1&query=%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E4%BC%8A%E6%9D%B1%E5%B8%82%20%E3%83%9B%E3%83%86%E3%83%AB%E3%82%B5%E3%83%B3%E3%83%8F%E3%83%88%E3%83%A4%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC
,静岡県,伊豆市,初音遊技場,温泉街の遊技場,,,,,,,修善寺温泉に残る昔ながらの遊技場。射的とスマートボール。利用条件：射的・スマートボール等は有料。営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E4%BC%8A%E8%B1%86%E5%B8%82%20%E5%88%9D%E9%9F%B3%E9%81%8A%E6%8A%80%E5%A0%B4
,静岡県,静岡市葵区,アップル新北街道店,街のゲームセンター,,,,,,,建物・店内の古さは写真の現地再確認を推奨。利用条件：ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E9%9D%99%E5%B2%A1%E5%B8%82%E8%91%B5%E5%8C%BA%20%E3%82%A2%E3%83%83%E3%83%97%E3%83%AB%E6%96%B0%E5%8C%97%E8%A1%97%E9%81%93%E5%BA%97
公式サイト：https://hotel-new-akao.com/facilities/,静岡県,熱海市,ホテルニューアカオ ゲームコーナー,温泉ホテル内,,,,,,,オーシャン・ウイング1階。大型観光ホテルの館内ゲーム空間。利用条件：宿泊等の施設利用条件を確認。ゲーム別料金。8～24時,https://hotel-new-akao.com/facilities/,https://www.google.com/maps/search/?api=1&query=%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E7%86%B1%E6%B5%B7%E5%B8%82%20%E3%83%9B%E3%83%86%E3%83%AB%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%A2%E3%82%AB%E3%82%AA%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,静岡県,熱海市,和田たばこ店 ゲームコーナー,たばこ・駄菓子店併設,,,,,,,古い温泉旅館等のゲーム機を維持する小規模店。撮影用途には制約。利用条件：店番がいる時のみ利用可。店内撮影不可,,https://www.google.com/maps/search/?api=1&query=%E9%9D%99%E5%B2%A1%E7%9C%8C%20%E7%86%B1%E6%B5%B7%E5%B8%82%20%E5%92%8C%E7%94%B0%E3%81%9F%E3%81%B0%E3%81%93%E5%BA%97%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,愛知県,一宮市,ゲームセンター千秋,オートスナック,,,,,,,古い郊外店舗の外観・内装。旧筐体に非稼働品が多い点に注意。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E4%B8%80%E5%AE%AE%E5%B8%82%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%8D%83%E7%A7%8B
公式サイト：https://egameippaiamano.crayonsite.info/,愛知県,西尾市,天野ゲーム博物館,街のゲームセンター,,,,,,,1978年のゲームセンターを継承。名称は博物館だが既存店舗の維持型。利用条件：限定営業。訪問前に公式の営業日程を確認,https://egameippaiamano.crayonsite.info/,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E8%A5%BF%E5%B0%BE%E5%B8%82%20%E5%A4%A9%E9%87%8E%E3%82%B2%E3%83%BC%E3%83%A0%E5%8D%9A%E7%89%A9%E9%A4%A8
,愛知県,名古屋市西区,ゲームボックスQ3,街のゲームセンター,,,,,,,90年代からゲーセンが続く場所。旧作対戦・パズルゲーム。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%E8%A5%BF%E5%8C%BA%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%83%9C%E3%83%83%E3%82%AF%E3%82%B9Q3
公式サイト：https://www.leisurelan.co.jp/store/leisurelanootsu.html,滋賀県,大津市,滋賀レジャーランド大津店,ロードサイドゲームセンター,,,,,,,琵琶湖近くの2階建て施設。上階の音楽・大型ゲーム空間に古いゲームコーナーの雰囲気が残る。利用条件：ゲームごとに課金。8:00～23:55,https://www.leisurelan.co.jp/store/leisurelanootsu.html,https://www.google.com/maps/search/?api=1&query=%E6%BB%8B%E8%B3%80%E7%9C%8C%20%E5%A4%A7%E6%B4%A5%E5%B8%82%20%E6%BB%8B%E8%B3%80%E3%83%AC%E3%82%B8%E3%83%A3%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E5%A4%A7%E6%B4%A5%E5%BA%97
,京都府,舞鶴市,ドライブインダルマ ゲームコーナー,ドライブインのゲームコーナー,,,,,,,レトロ自販機と旧作ゲームが並ぶ古いロードサイド施設。利用条件：ゲームごとに課金。休業日・営業時間は要確認,,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E5%BA%9C%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96%E3%82%A4%E3%83%B3%E3%83%80%E3%83%AB%E3%83%9E%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
"公式サイト：http://silverballplanet.jp/
公式資料：https://big-step.co.jp/shop/detail/15",大阪府,大阪市中央区,THE SILVER BALL PLANET,ピンボール専門施設,,,,,,,アメリカ村BIGSTEP内のピンボール集積。意図的な収集・保存型なので採集優先度は低め。利用条件：ゲームごとに課金。商業施設の営業日に準拠,http://silverballplanet.jp/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%20THE%20SILVER%20BALL%20PLANET
公式サイト：https://ones-amuse.co.jp/各店舗のご案内/,大阪府,大阪市都島区,シャトーEX,古い商業ビルのゲームセンター,,,,,,,京橋グランシャトービル1・2階。ビルと繁華街の時間の重なりが採集対象。個別旧筐体は要確認。利用条件：ゲームごとに課金,https://ones-amuse.co.jp/各店舗のご案内/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E9%83%BD%E5%B3%B6%E5%8C%BA%20%E3%82%B7%E3%83%A3%E3%83%88%E3%83%BCEX
公式サイト：https://ko-hatsu.sakura.ne.jp/,大阪府,大阪市北区,KO-HATSU（コーハツ）,商店街のゲームセンター,,,,,,,天神橋筋商店街のビデオゲーム主体店。旧作対戦文化。利用条件：ゲームごとに課金。最新営業日は要確認。17:00～24:00,https://ko-hatsu.sakura.ne.jp/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%20KO-HATSU%EF%BC%88%E3%82%B3%E3%83%BC%E3%83%8F%E3%83%84%EF%BC%89
公式サイト：https://royalgamecenter.com/en/,大阪府,大阪市北区,ロイヤルゲームセンター,地下街のゲームセンター,,,,,,,大阪駅前第3ビル地下1階。80～90年代のビデオゲームを維持。利用条件：ゲームごとに課金。月～土9～22時・日祝10～20時,https://royalgamecenter.com/en/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E5%8C%97%E5%8C%BA%20%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC
公式サイト：https://athena-nipponbashi.com/access/,大阪府,大阪市浪速区,アテナ日本橋,街のゲームセンター,,,,,,,日本橋の多層階ゲームセンター。旧作対戦文化を維持する店。利用条件：ゲームごとに課金。9:00-24:00,https://athena-nipponbashi.com/access/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B5%AA%E9%80%9F%E5%8C%BA%20%E3%82%A2%E3%83%86%E3%83%8A%E6%97%A5%E6%9C%AC%E6%A9%8B
公式サイト：https://www.kasugagorakujou.com/access,大阪府,大阪市浪速区,かすが娯楽場,商店街のゲームセンター,,,,,,,新世界ジャンジャン横丁の既存ゲーセン。古いビデオ・メダルゲームの空間。利用条件：ゲームごとに課金。10～22時・木曜休,https://www.kasugagorakujou.com/access,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B5%AA%E9%80%9F%E5%8C%BA%20%E3%81%8B%E3%81%99%E3%81%8C%E5%A8%AF%E6%A5%BD%E5%A0%B4
,大阪府,大阪市浪速区,スマートボール ニュースター,商店街の遊技場,,,,,,,新世界に残るスマートボール専門店。傾斜台が並ぶ昔の遊技場。利用条件：有料。18歳未満入場不可,,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B5%AA%E9%80%9F%E5%8C%BA%20%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB%20%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%BC
公式サイト：https://www.sumaura-yuen.jp/facilities/play/gamecorner.html,兵庫県,神戸市須磨区,須磨浦山上遊園 回転展望閣ゲームコーナー,展望施設のゲームコーナー,,,,,,,1958年開業の回転展望閣内。山上観光施設と昔ながらのゲームが重なる。利用条件：展望閣・交通費など別途。ゲーム有料。営業カレンダー確認,https://www.sumaura-yuen.jp/facilities/play/gamecorner.html,https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E7%A5%9E%E6%88%B8%E5%B8%82%E9%A0%88%E7%A3%A8%E5%8C%BA%20%E9%A0%88%E7%A3%A8%E6%B5%A6%E5%B1%B1%E4%B8%8A%E9%81%8A%E5%9C%92%20%E5%9B%9E%E8%BB%A2%E5%B1%95%E6%9C%9B%E9%96%A3%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,兵庫県,豊岡市,センター遊技場,温泉街の遊技場,,,,,,,城崎温泉の射的・スマートボール。外湯巡りと続く古い遊び場。利用条件：有料。19～22時・不定休,,https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E8%B1%8A%E5%B2%A1%E5%B8%82%20%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E9%81%8A%E6%8A%80%E5%A0%B4
,兵庫県,豊岡市,谷口屋遊技場,温泉街の遊技場,,,,,,,城崎温泉の個人遊技場。古い射的・玉遊びの空間。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E8%B1%8A%E5%B2%A1%E5%B8%82%20%E8%B0%B7%E5%8F%A3%E5%B1%8B%E9%81%8A%E6%8A%80%E5%A0%B4
公式サイト：https://urashimaresortsandspa.jp/wakayama-hotelurashima/facilities/,和歌山県,東牟婁郡那智勝浦町,ホテル浦島 ゲームコーナー,温泉ホテル内,,,,,,,なぎさ館通路の遊技空間。館内は部分改装も進むため現況に注意。利用条件：宿泊等の施設利用条件を確認。ゲーム別料金。8:00 - 10:00,https://urashimaresortsandspa.jp/wakayama-hotelurashima/facilities/,https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%9C%8C%20%E6%9D%B1%E7%89%9F%E5%A9%81%E9%83%A1%E9%82%A3%E6%99%BA%E5%8B%9D%E6%B5%A6%E7%94%BA%20%E3%83%9B%E3%83%86%E3%83%AB%E6%B5%A6%E5%B3%B6%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,島根県,浜田市,ドライブイン日本海 ゲームコーナー,ドライブインのゲームコーナー,,,,,,,国道9号沿いに自販機とゲームが残る。使い込まれた壁や掲示物も記録対象。利用条件：ゲームごとに課金。各区画の利用時間は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%B3%B6%E6%A0%B9%E7%9C%8C%20%E6%B5%9C%E7%94%B0%E5%B8%82%20%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96%E3%82%A4%E3%83%B3%E6%97%A5%E6%9C%AC%E6%B5%B7%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,岡山県,倉敷市,ドライブイン古城 ゲームコーナー,ドライブインのゲームコーナー,,,,,,,年季の入った建物に自販機と対戦ゲーム・スロットが残る。自然残存のロードサイド空間。利用条件：ゲームごとに課金。ゲーム区画の利用時間は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%B1%B1%E7%9C%8C%20%E5%80%89%E6%95%B7%E5%B8%82%20%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96%E3%82%A4%E3%83%B3%E5%8F%A4%E5%9F%8E%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
公式サイト：https://www.amfantasista.com/,岡山県,倉敷市,ファンタジスタ,街のゲームセンター,,,,,,,旧作格闘ゲームと最新作が同居する独立系店舗。利用条件：ゲームごとに課金。最新営業日は要確認。12:00～24:00,https://www.amfantasista.com/,https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%B1%B1%E7%9C%8C%20%E5%80%89%E6%95%B7%E5%B8%82%20%E3%83%95%E3%82%A1%E3%83%B3%E3%82%BF%E3%82%B8%E3%82%B9%E3%82%BF
,広島県,広島市西区,沖本商会,駄菓子店併設,,,,,,,駄菓子と小規模ゲームコーナーが共存。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E7%9C%8C%20%E5%BA%83%E5%B3%B6%E5%B8%82%E8%A5%BF%E5%8C%BA%20%E6%B2%96%E6%9C%AC%E5%95%86%E4%BC%9A
公式サイト：https://hiroshima-hall.wixsite.com/main,広島県,広島市中区,広島ホール,保存型パチンコ・スロットゲームセンター,,,,,,,旧世代のパチンコ・スロットを遊べる保存施設。歓楽街ビル4階。利用条件：時間制料金。金土日祝中心。撮影はスタッフへ申告,https://hiroshima-hall.wixsite.com/main,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E7%9C%8C%20%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%20%E5%BA%83%E5%B3%B6%E3%83%9B%E3%83%BC%E3%83%AB
,山口県,周南市,モノハウス（ラッキーセブン）,ロードサイド複合店,,,,,,,物販と旧作ゲームが混在するロードサイド店。成人向け売場あり。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%8F%A3%E7%9C%8C%20%E5%91%A8%E5%8D%97%E5%B8%82%20%E3%83%A2%E3%83%8E%E3%83%8F%E3%82%A6%E3%82%B9%EF%BC%88%E3%83%A9%E3%83%83%E3%82%AD%E3%83%BC%E3%82%BB%E3%83%96%E3%83%B3%EF%BC%89
,徳島県,徳島市,アポロゲームセンター沖洲店,ロードサイドのゲームセンター,,,,,,,ビデオゲーム中心の従来型店舗。古い機種の残存は要確認。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%BE%B3%E5%B3%B6%E7%9C%8C%20%E5%BE%B3%E5%B3%B6%E5%B8%82%20%E3%82%A2%E3%83%9D%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E6%B2%96%E6%B4%B2%E5%BA%97
